Entity,Code,Year,Coal Production - EJ,Gas Production - EJ,Oil Production - Tonnes
Other Africa,,1970,,0.004055085,0.044000000000000004
Other Africa,,1971,,0.006579997164,0.023
Other Africa,,1972,,0.0085278464046,0.027999999999999997
Other Africa,,1973,,0.027013599432,0.042
Other Africa,,1974,,0.0345910378446,0.025
Other Africa,,1975,,0.02138723514,0.02
Other Africa,,1976,,0.016221633444,1.2658681318681297
Other Africa,,1977,,0.018723282552,1.21315934065934
Other Africa,,1978,,0.021482195832000003,1.55147252747253
Other Africa,,1979,,0.023281002432,2.7728846153846196
Other Africa,,1980,,0.029830099715999998,3.92194505494505
Other Africa,,1981,0.0638884228126334,0.033789994452,6.023884615384611
Other Africa,,1982,0.0532018127379341,0.036762490403999995,7.546159340659339
Other Africa,,1983,0.0486333473801148,0.0369772164,8.23343406593407
Other Africa,,1984,0.0545133261632141,0.036082345752,10.4007912087912
Other Africa,,1985,0.0555079733221331,0.037316914776,12.207532967033
Other Africa,,1986,0.0572783371674851,0.040061958624,11.7683956043956
Other Africa,,1987,0.0545494533256307,0.039815613036,11.064258241758198
Other Africa,,1988,0.0545988610938471,0.047786182308,10.704241758241801
Other Africa,,1989,0.0524958339546227,0.043779052512,9.90684615384615
Other Africa,,1990,0.054897172623189,0.10820747890799999,9.605083516483509
Other Africa,,1991,0.0522126795380933,0.10601010046800001,8.90244615384616
Other Africa,,1992,0.0539807157880884,0.104048781336,8.27364285714286
Other Africa,,1993,0.0497337201640354,0.110395014192,8.33313406593407
Other Africa,,1994,0.0525410777120101,0.10864939518,7.84764525102062
Other Africa,,1995,0.0530598593613899,0.11281043660399999,7.84355733893271
Other Africa,,1996,0.0462098943994561,0.14456960532,8.605212172780611
Other Africa,,1997,0.0420140988298008,0.179862621984,9.39938906748832
Other Africa,,1998,0.0522978766463012,0.188454432697875,8.34626946115432
Other Africa,,1999,0.0484964402213077,0.22024598533875,7.4983797103356205
Other Africa,,2000,0.0439020171728287,0.22354736121225,7.25039549710691
Other Africa,,2001,0.0427407089409666,0.28023923241765003,6.79348468387876
Other Africa,,2002,0.0471361487882222,0.28962162419535,6.78810274204976
Other Africa,,2003,0.0401611441038173,0.266480975384325,6.98114389386938
Other Africa,,2004,0.0431436341478707,0.35061244599779195,8.61614025917019
Other Africa,,2005,0.0386135652739676,0.414975844244546,8.821982691308131
